"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 04 11:46:58 CEST 2023","Mon Sep 04 11:47:00 CEST 2023","2132","chromium","","","","","has title",""
"passed","Mon Sep 04 11:46:58 CEST 2023","Mon Sep 04 11:47:00 CEST 2023","2496","chromium","","","","","get started link",""
